Column_0	Column_1	Column_2	Column_3	Column_4	Column_5	Column_6	Column_7	Column_8	Column_9	Column_10	Column_11	Column_12	Column_13	Column_14
1	0	0.0	0.0	0.0	0.0	0.0	12	13	10	13	4	0		0
2	0	612096.0	0.0	998400.0	19200.0	25861.0	14	15	494	15	4	0		0
3	0	714810.0	0.0	987301.0	13924.0	19298.0	16	15	496	15	4	0		0
4	0	557760.0	0.0	966720.0	23040.0	28800.0	17	18	497	18	4	0		0
5	0	685440.0	-177.0	989760.0	11167.0	16362.0	19	20	463	20	4	0		0
6	0	725045.0	0.0	1021195.0	13922.0	20298.0	21	22	454	22	4	0		0
7	0	653065.0	0.0	897438.0	23773.0	29291.0	23	24	456	24	4	0		0
8	0	561600.0	0.0	1002240.0	25920.0	31680.0	17	25	497	25	4	0		0
9	0	614400.0	0.0	1094400.0	63744.0	72192.0	26	27	409	27	4	0		0
10	0	710400.0	9216.0	864000.0	12603.0	20050.0	28	24	493	24	4	0		0
11	0	644315.0	0.0	728689.0	14966.0	35446.0	29	13	499	13	4	0		0
12	0	724087.0	0.0	667736.0	13785.0	46868.0	30	31	10	31	4	0		0
13	0	648745.0	-389.0	618216.0	18900.0	54857.0	32	33	10	33	4	0		0
14	0	759016.75	818.08544921875	987938.5625	26782.0	30720.0	16	15	496	15	4	0		0
15	0	652489.5625	902.0947875976562	999862.0	24000.0	31658.0	14	15	494	15	4	0		0
16	0	666312.375	15687.8916015625	800207.6875	35975.20703125	43712.828125	34	35	406	35	2	0		0
17	0	687233.0	2345.0	1011162.0	11068.0	14613.0	19	20	463	20	4	0		0
18	0	664320.0	0.0	982080.0	6720.0	7680.0	14	15	494	15	4	0		0
19	0	702610.0	0.0	1047894.0	14178.0	19057.0	36	37	36	37	4	0		0
20	0	706944.0	0.0	901632.0	25344.0	29952.0	23	24	456	24	4	0		0
21	0	748800.0	0.0	856704.0	24882.0	29952.0	28	24	493	24	4	0		0
22	0	613629.0	8480.0	804810.0	26524.0	31670.0	34	35	406	35	2	0		0
23	0	597504.0	6912.0	841728.0	19200.0	20736.0	34	35	406	35	2	0		0
24	0	622848.0	5376.0	823296.0	20736.0	24576.0	34	35	406	35	2	0		0
25	0	716234.125	5376.0	822528.0	10580.0	23040.0	38	39	470	39	4	0		0
26	0	737280.0	0.0	807168.0	24576.0	39168.0	38	39	470	39	4	0		0
27	0	612864.0	0.0	516864.0	35446.0	51722.0	40	39	407	39	4	0		0
28	0	564790.0	0.0	604416.0	28996.0	65437.0	41	42	472	42	4	0		0
29	0	561408.0	0.0	537600.0	18808.0	30171.0	40	43	407	43	4	0		0
30	0	721019.0	0.0	547667.0	14890.0	22843.0	44	45	457	45	4	0		0
31	0	671928.0	0.0	553804.0	29170.0	38597.0	46	45	473	45	4	0		0
32	0	673462.0	0.0	510849.0	9846.0	21662.0	47	45	473	45	4	0		0
33	0	704256.0	0.0	527616.0	12209.0	16542.0	48	45	457	45	4	0		0
34	0	680017.0	767.0	579840.0	2035.0	3331.0	49	45	473	45	4	0		0
35	0	707752.0	0.0	575461.0	11815.0	22449.0	50	45	473	45	4	0		0
36	0	708480.0	0.0	610560.0	18024.0	31347.0	51	45	10	45	4	0		0
37	0	753792.0	0.0	604800.0	23902.0	40359.0	51	52	10	52	4	0		0
38	0	758650.0	0.0	584634.0	8612.0	11755.0	53	24	10	24	4	0		0
39	0	596846.0	0.0	1131107.0	5486.0	8229.0	26	27	409	27	4	0		0
40	0	601065.0	1663.0	986093.0	1279.0	2743.0	54	27	494	27	4	0		0
41	0	630428.0	0.0	990672.0	4702.0	9012.0	55	27	469	27	4	0		0
42	0	769336.0	0.0	520883.0	46080.0	59513.0	56	37	444	37	4	0		0
43	0	749492.0	5148.0	525102.0	6962.0	10136.0	57	37	457	37	4	0		0
44	0	631954.0	0.0	593793.0	9404.0	17241.0	427	45	422	45	2	0		0
45	0	659431.0	0.0	688803.0	4310.0	24294.0	30	45	10	45	4	0		0
46	0	747098.0	5369.0	504893.0	8271.0	14572.0	59	33	457	33	4	0		0
47	0	811530.0	3835.0	516986.0	6564.0	11028.0	57	31	457	31	4	0		0
48	0	737786.0	5369.0	475746.0	15360.0	20086.0	60	45	60	45	4	0		0
49	0	731145.0	4123.0	475480.0	2253.0	5908.0	61	45	61	45	4	0		0
50	0	674996.0	2027.0	912325.0	9058.0	12209.0	23	45	456	45	4	0		0
51	0	594662.0	2913.0	919693.0	2363.0	3043.0	62	24	10	24	4	0		0
52	0	592048.0	2553.0	916999.0	2255.0	3227.0	62	24	10	24	4	0		0
